cow,bull,pair_score,score,RAAA#,Name,PROS,CED,BW,WW,YW,ADG,DMI,Milk,ME,HPG,CEM,STAY,Marb,YG,CW,REA,FAT,HB,GM,higher_count,lower_count,Weight,combined_count
H31,K20B,1.15,1.3225,PM44,HHOLL H31 - HHOLL K20B,109,18,-3.9,52,76,0.15,0.28,19,-7,10,8,19,0.45,-0.04,0,0.01,-0.0,78,31,3,5,1260.0,8
G09,1181J,1.1137,1.2404,PM228,HHOLL G09 - LSF SRR CHARTER 1181J,152,12,-1.9,66,111,0.28,0.75,24,3,12,6,19,0.57,0.06,33,0.07,-0.01,77,75,7,1,,8
D29,K20B,1.0733,1.152,PM9,D29 - HHOLL K20B,107,17,-3.7,50,72,0.14,0.26,21,-6,10,8,19,0.44,-0.05,0,-0.0,-0.01,76,31,3,5,1340.0,8
M13,D172,1.0287,1.0583,PM801,HHOLL M13 - VF SILVER BOW D172,144,11,-1.5,58,98,0.25,0.67,19,0,14,6,19,0.55,-0.05,14,0.25,0.0,81,63,7,2,703.0,9
K43,8269,0.9555,0.9131,PM520,HHOLL K43 - FEDDES DEFENDER Y17-8269,108,16,-4.1,58,85,0.17,0.62,26,-4,12,8,17,0.54,-0.03,4,0.02,0.0,74,34,4,4,1100.0,8
H86,K20B,0.9194,0.8453,PM36,HHOLL H86 - HHOLL K20B,112,16,-3.1,55,79,0.15,0.35,21,-7,10,8,19,0.44,-0.05,2,0.02,-0.01,83,29,3,5,2113.0,8
K38B,1181J,0.9116,0.8311,PM529,HHOLL K38B - LSF SRR CHARTER 1181J,148,11,-1.2,71,115,0.27,0.79,29,3,11,6,18,0.64,0.08,35,0.0,-0.01,72,76,8,1,,9
L63,1181J,0.8161,0.6661,PM732,HHOLL L63 - LSF SRR CHARTER 1181J,139,9,-0.7,74,119,0.28,0.9,27,5,11,5,17,0.64,0.0,37,0.26,-0.01,59,80,9,2,1050.0,11
K25,K20B,0.6096,0.3716,PM70,HHOLL K25 - HHOLL K20B,101,17,-4.1,56,81,0.16,0.43,24,-6,10,8,17,0.52,-0.06,1,0.01,-0.01,67,34,2,5,1180.0,7
L49,1181J,0.4671,0.2182,PM697,HHOLL L49 - LSF SRR CHARTER 1181J,156,9,-1.0,73,122,0.31,0.88,26,5,12,6,18,0.66,0.09,41,0.06,-0.01,68,89,8,1,1080.0,9
L22,D172,0.4232,0.1791,PM647,HHOLL L22 - VF SILVER BOW D172,125,14,-2.3,64,104,0.25,0.78,21,-2,14,7,17,0.55,-0.04,11,0.11,-0.0,73,53,5,3,938.0,8
H37,K20B,0.3692,0.1363,PM34,HHOLL H37 - HHOLL K20B,113,17,-3.9,55,84,0.18,0.51,18,-5,11,8,18,0.41,-0.07,7,0.07,-0.01,77,36,3,4,,7
L66,K20B,0.3231,0.1044,PM107,HHOLL L66 - HHOLL K20B,111,15,-3.0,58,84,0.16,0.49,26,-6,10,8,18,0.52,-0.06,3,0.03,-0.01,76,35,3,4,1188.0,7
C66,D172,-0.0542,-0.0029,PM24,C66 - VF SILVER BOW D172,131,15,-2.7,57,92,0.22,0.6,20,-2,13,7,21,0.38,-0.01,9,0.02,-0.0,94,37,5,3,1250.0,8
F21,K20B,-0.0915,-0.0084,PM19,F21 - HHOLL K20B,112,15,-3.1,56,82,0.16,0.35,22,-7,10,7,18,0.45,-0.05,4,0.0,-0.01,77,34,3,5,1175.0,8
K69,1181J,-0.1406,-0.0198,PM571,HHOLL K69 - LSF SRR CHARTER 1181J,127,13,-2.3,74,117,0.26,0.92,29,3,11,7,16,0.59,0.04,33,0.1,-0.01,60,67,7,1,1310.0,8
F06,Z124G,-0.215,-0.0462,PM106,F06 - LASO SPLASH Z124G,130,11,-1.5,56,86,0.19,0.54,27,0,10,6,20,0.54,-0.11,14,0.35,-0.01,76,54,5,2,1310.0,7
E59,1181J,-0.5689,-0.3236,PM102,E59 - LSF SRR CHARTER 1181J,148,10,-0.4,67,106,0.24,0.55,29,0,10,6,20,0.47,0.04,33,0.05,-0.02,85,64,6,1,1355.0,7
K04B,8269,-0.6244,-0.3898,PM492,HHOLL K04B - FEDDES DEFENDER Y17-8269,118,15,-3.2,55,85,0.19,0.62,21,-3,13,7,19,0.52,-0.02,4,0.01,0.0,80,38,4,4,,8
C47,1181J,-0.7917,-0.6268,PM46,C47 - LSF SRR CHARTER 1181J,147,11,-1.1,63,101,0.24,0.61,29,3,11,7,21,0.48,0.04,29,0.01,-0.01,87,61,6,1,1155.0,7
